name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations,accident_count
"Dubai,United Arab Emirates",09/02/2024,41,31.9,36.7,48.3,34.8,39.7,19.8,38.5,0,0,0,,0,0,27.7,20.6,49.6,1002,29.2,10,281.3,24.3,9,19,2024-09-02T05:59:53,2024-09-02T18:36:33,0.97,Cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OMSJ,41194099999,41194599999,OMDW,OMDB",364
"Dubai,United Arab Emirates",09/03/2024,41.8,32,36,50.1,35.1,40.9,21.6,44.3,0,0,0,,0,0,47.9,29.2,72.1,1001.2,19.1,9.6,294.8,25.3,10,30,2024-09-01T05:59:30,2024-09-01T18:37:35,0.94,Clear,Clear conditions throughout the day.,clear-day,"OMSJ,41194099999,41194599999,OMDW,OMDB",284
"Dubai,United Arab Emirates",09/04/2024,45.9,32.9,39,51.9,37.9,44.4,17.4,38.4,0,0,0,,0,0,44.6,35.1,92.9,998.5,15.4,8.9,299.9,26,10,50,2024-08-31T05:59:07,2024-08-31T18:38:36,0.9,Clear,Clear conditions throughout the day.,clear-day,"OMSJ,41194099999,41194599999,OMDW,OMDB",387
"Dubai,United Arab Emirates",09/05/2024,40,31.9,35.6,56.5,44,51.4,28.8,69,0,0,0,,0,0,17.3,20.5,303.5,997.4,14.5,6.7,295.8,25.7,10,50,2024-08-30T05:58:43,2024-08-30T18:39:37,0.87,Clear,Clear conditions throughout the day.,clear-day,"OMSJ,41194099999,41194599999,OMDW,OMDB",349
"Dubai,United Arab Emirates",09/06/2024,41,33.8,36.9,55.1,39.2,46.1,24.7,51.7,0,0,0,,0,0,22.7,20.5,286.7,997.8,5.4,6.8,302.1,26.2,10,50,2024-08-29T05:58:20,2024-08-29T18:40:38,0.83,Clear,Clear conditions throughout the day.,clear-day,"OMSJ,41194099999,41194599999,OMDW,OMDB",348
"Dubai,United Arab Emirates",09/07/2024,44,32.9,36.6,54,44,49,26.5,60,0,0,0,,0,0,27.7,29.4,338.3,998.3,3.5,4.8,304.8,26.2,10,50,2024-08-28T05:57:56,2024-08-28T18:41:37,0.8,Clear,Clear conditions throughout the day.,clear-day,"OMSJ,41194099999,41194599999,OMDW,OMDB",378
"Dubai,United Arab Emirates",09/08/2024,40,32.9,35.9,53.7,40.1,48.7,27,61.6,0,0,0,,0,0,23,22.3,348.3,998.2,0.3,5.9,303.2,26.2,10,50,2024-08-27T05:57:32,2024-08-27T18:42:37,0.76,Clear,Clear conditions throughout the day.,clear-day,"OMSJ,41194099999,41194599999,OMDW,OMDB",355
"Dubai,United Arab Emirates",09/09/2024,39,32.9,36.2,51.9,38,45.5,25.2,54.1,0,0,0,,0,0,22.3,24,301.3,999.7,4.8,9.7,298.5,25.9,10,50,2024-08-26T05:57:08,2024-08-26T18:43:35,0.75,Clear,Clear conditions throughout the day.,clear-day,"OMSJ,41194099999,41194599999,OMDW,OMDB",312
"Dubai,United Arab Emirates",09/10/2024,43,34.9,37.7,50.1,39.2,43.8,22.3,42.7,0,0,0,,0,0,28.1,27.7,319.2,1000.9,42.9,10,296.3,25.5,10,100,2024-08-25T05:56:44,2024-08-25T18:44:34,0.69,Cloudy,Clearing in the afternoon.,partly-cloudy-day,"OMSJ,41194099999,41194599999,OMDW,OMDB",261
"Dubai,United Arab Emirates",09/11/2024,40,33.9,37.3,53.9,41.7,44.7,23.6,46.8,0,0,0,,0,0,24.8,29.4,25.4,1001.4,26.2,9.6,270.9,23.2,9,75,2024-08-24T05:56:20,2024-08-24T18:45:31,0.66,Cloudy,Clearing in the afternoon.,partly-cloudy-day,"OMSJ,41194099999,41194599999,OMDW,OMDB",292
"Dubai,United Arab Emirates",09/12/2024,41,33,35.9,49.7,39.5,44.4,24.8,53.7,0,0,0,,0,0,24.8,27.7,339,1001.8,14.8,10.6,297.4,25.7,9,30,2024-08-23T05:55:55,2024-08-23T18:46:28,0.62,Clear,Clear conditions throughout the day.,clear-day,"OMSJ,41194099999,41194599999,OMDW,OMDB,remote",286
"Dubai,United Arab Emirates",09/13/2024,39,32,34.9,46.5,36.7,41.2,23.4,51.9,0,0,0,,0,0,33.1,25.8,38.4,1002.1,42.1,10,295.5,25.4,9,30,2024-08-22T05:55:30,2024-08-22T18:47:24,0.59,Cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OMSJ,41194099999,41194599999,OMDW,OMDB",320
"Dubai,United Arab Emirates",09/14/2024,39,31.8,34.7,49.3,36.7,42.3,24.5,56,0,0,0,,0,0,42.1,31.6,81.4,1001.5,33.8,10,295.6,25.4,9,30,2024-08-21T05:55:05,2024-08-21T18:48:20,0.55,Cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"OMSJ,41194099999,41194599999,OMDW,OMDB",311
"Dubai,United Arab Emirates",09/15/2024,40.9,32.9,36,48.6,40.4,44.3,24.8,53.2,0.1,100,4.17,rain,0,0,38.9,27.3,79.5,999.4,69.4,10,289.5,25,9,30,2024-08-20T05:54:40,2024-08-20T18:49:15,0.52,Rain,Partly cloudy throughout the day with late afternoon rain.,rain,"OMSJ,41194099999,41194599999,OMDW,OMDB",341
